[root@ztg 桌面]# sysctl net.mptcp.mptcp_enabled
net.mptcp.mptcp_enabled = 0
[root@ztg 桌面]# sysctl net.ipv4.tcp_congestion_control
net.ipv4.tcp_congestion_control = cubic
[root@ztg 桌面]# iperf3 -c 112.26.4.9 -f K -b 32K -n 2048KB
Connecting to host 112.26.4.9, port 5201
[  5] local 112.26.4.1 port 44430 connected to 112.26.4.9 port 5201
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-164.99 sec   701 KBytes  4.25 KBytes/sec   94             sender
[  5]   0.00-164.99 sec  0.00 Bytes  0.00 KBytes/sec                  receiver
iperf3: interrupt - the client has terminated
[root@ztg 桌面]# pkill tcpdump 
[root@ztg 桌面]# pkill dmesg 
[root@ztg 桌面]# cd
[root@ztg ~]# gedit iperf3-time.txt &
[1] 1963
[root@ztg ~]# 


